AUDIO SIMILARITY REPORT (PANNs CNN14 + LanceDB)
================================================================================
                orig_title      cover_artist                cover_title  match_value
                     Creep              IMY2                      Creep     0.943704
                Easy On Me     Conor Maynard                   Stitches     0.912654
                Easy On Me           Lloyiso                 Easy On Me     0.911798
                     Creep       Teddy Swims               Cruel Summer     0.906837
         Love On The Brain    Sofia Karlberg          Take Me To Church     0.893128
                     Creep      Dominic Fike                       Bags     0.892600
           Sweater Weather              IMY2                      Creep     0.887912
         Take Me To Church            Hozier           Do I Wanna Know?     0.887535
                    Sparks    Joseph Vincent                   Nonsense     0.884366
                 I’m Yours      Kina Grannis            Sweater Weather     0.879906
         Take Me To Church              IMY2                      Creep     0.876946
                Easy On Me       Matt Wilson        We Can’t Be Friends     0.874601
         Love On The Brain              IMY2                      Creep     0.872331
         Love On The Brain    Kelly Clarkson         Birds Of A Feather     0.870756
         Take Me To Church       Teddy Swims               Cruel Summer     0.864058
             Cruel Summer     Sofia Karlberg          Take Me To Church     0.862672
           Sweater Weather       Teddy Swims               Cruel Summer     0.857964
               Sailor Song              IMY2                      Creep     0.857929
                      Halo    Sofia Karlberg          Take Me To Church     0.854750
                  Stitches     Alec Chambers               Cruel Summer     0.854387
                  Stitches              IMY2                      Creep     0.850054
           Sweater Weather     Alec Chambers               Cruel Summer     0.849643
                Easy On Me      Alyssa Baker Can’t Help Falling In Love     0.848852
                Easy On Me    Sofia Karlberg          Take Me To Church     0.847689
                    Coffee Marianne Beaulieu                Sailor Song     0.847654
          Do I Wanna Know?              IMY2                      Creep     0.847446
           Sweater Weather        Peter Katz                       Halo     0.847409
                      Bags              IMY2                      Creep     0.845492
        Birds Of A Feather    Sofia Karlberg          Take Me To Church     0.844321
                  Stitches       Teddy Swims               Cruel Summer     0.843359
               Sailor Song     Leroy Sanchez                   Stitches     0.842965
         Take Me To Church      Kina Grannis            Sweater Weather     0.842386
                    Snooze    Sofia Karlberg          Take Me To Church     0.840905
                  Stitches    Joseph Vincent                   Nonsense     0.840561
           Sweater Weather      Dominic Fike                       Bags     0.839296
           Sweater Weather      Kina Grannis            Sweater Weather     0.838032
                    Sparks              IMY2                      Creep     0.836108
               Sailor Song     Billie Eilish                      Creep     0.835247
          Do I Wanna Know?       Teddy Swims               Cruel Summer     0.835012
                 I’m Yours     Alec Chambers               Cruel Summer     0.834984
               Sailor Song    Kelly Clarkson         Birds Of A Feather     0.834458
                    Sparks     Forest Slater                     Sparks     0.833630
                    Sparks   Hearts & Colors                  I’m Yours     0.833566
                 I’m Yours    Joseph Solomon          Love On The Brain     0.833395
               Sailor Song    Sofia Karlberg          Take Me To Church     0.833253
                 I’m Yours   Hearts & Colors                  I’m Yours     0.832733
          Do I Wanna Know?        Peter Katz                       Halo     0.832010
                  Nonsense     Alec Chambers               Cruel Summer     0.831822
                    Sparks        Nica Tupas        We Can’t Be Friends     0.831136
                    Coffee      Celine Wanyi                     Snooze     0.830532
                    Coffee      Dixzie Cruel                   Nonsense     0.830314
         Love On The Brain       Teddy Swims               Cruel Summer     0.830200
                    Sparks     Leroy Sanchez                   Stitches     0.829090
                  Stitches      Kina Grannis            Sweater Weather     0.828820
                    Sparks        Peter Katz                       Halo     0.828703
         Take Me To Church     Billie Eilish                      Creep     0.828541
                  Stitches     Leroy Sanchez                   Stitches     0.828237
                  Nonsense      Kina Grannis            Sweater Weather     0.828224
                    Coffee       Hannah Grae                Sailor Song     0.827833
               Sailor Song   Hearts & Colors                  I’m Yours     0.827040
                    Coffee    Joseph Solomon          Love On The Brain     0.827035
                  Stitches   Hearts & Colors                  I’m Yours     0.825962
          Do I Wanna Know?            Hozier           Do I Wanna Know?     0.825658
                 I’m Yours       Teddy Swims               Cruel Summer     0.825591
                Easy On Me      Kina Grannis            Sweater Weather     0.825421
